domain	rank	taxon	total_genomes	species_clusters	hq_reps	n_class_hq	n_order_hq	n_family_hq	n_genus_hq	n_species_hq
Bacteria	class	Elusimicrobia	787	394	241	0	8	13	72	241
Bacteria	class	Lentisphaeria	725	352	165	0	4	21	71	165
Bacteria	class	UBA1135	487	339	104	0	1	9	69	104
Bacteria	class	Desulfobulbia	709	461	271	0	1	15	68	271
Bacteria	class	WWE3	238	134	90	0	11	16	67	90
Bacteria	class	Fimbriimonadia	397	228	170	0	1	5	64	170
Bacteria	class	Vulcanimicrobiia	569	385	208	0	2	3	64	208
Bacteria	class	Krumholzibacteriia	274	208	125	0	6	9	63	125
Bacteria	class	RBG-16-71-46	233	206	121	0	9	16	61	121
Bacteria	class	UBA9160	316	225	118	0	2	10	61	118
Bacteria	class	Syntrophia	752	339	204	0	1	20	60	204
Bacteria	class	Bacteriovoracia	372	238	146	0	1	2	59	146
Bacteria	class	Marinisomatia	871	307	132	0	2	20	59	132
Bacteria	class	Synergistia	750	262	171	0	2	11	58	171
Bacteria	class	DSM-4660	304	209	93	0	1	6	57	93
Bacteria	class	Doudnabacteria	188	146	118	0	1	6	57	118
Bacteria	class	Desulfotomaculia	273	162	118	0	1	16	56	118
Bacteria	class	Deinococci	756	367	266	0	1	5	55	266
Bacteria	class	Cloacimonadia	592	232	151	0	3	15	54	151
Bacteria	class	Limnocylindria	1283	949	238	0	3	5	53	238
Bacteria	class	UBA796	251	182	82	0	3	11	52	82
Bacteria	class	UBA10199	127	93	63	0	9	24	51	63
Bacteria	class	UBA1018	169	127	75	0	2	13	49	75
Bacteria	class	Zhuqueibacteria	216	125	79	0	6	11	49	79
Bacteria	class	Limnochordia	275	95	70	0	6	15	47	70
Bacteria	class	Dormibacteria	602	374	118	0	4	5	47	118
Bacteria	class	Hydrogenedentia	225	133	84	0	1	12	47	84
Bacteria	class	Polarisedimenticolia	173	119	63	0	8	15	46	63
Bacteria	class	UBA4738	335	294	109	0	1	6	46	109
Bacteria	class	Dethiobacteria	264	149	94	0	4	6	45	94
Bacteria	class	Methylomirabilia	364	251	104	0	3	9	45	104
Bacteria	class	UBA2361	157	124	73	0	2	31	44	73
Bacteria	class	Thermotogae	598	151	117	0	7	10	44	117
Bacteria	class	GWC2-55-46	136	96	63	0	4	12	43	63
Bacteria	class	UBA9042	212	107	68	0	10	17	43	68
Bacteria	class	CADDZG01	125	113	61	0	2	4	42	61
Bacteria	class	Tepidihabitantia	231	132	89	0	5	14	42	89
Bacteria	class	Bradymonadia	166	113	58	0	5	8	41	58
Bacteria	class	UBA6911	197	137	88	0	6	21	40	88
